animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,-1
